"rules","support","confidence","lift","count"
"{pot plants} => {whole milk}",0.00691056910569106,0.4,1.56563245823389,68
"{pasta} => {whole milk}",0.00609756097560976,0.405405405405405,1.58678965361543,60
"{herbs} => {root vegetables}",0.00701219512195122,0.43125,3.95848880597015,69
"{herbs} => {other vegetables}",0.00772357723577236,0.475,2.45483193277311,76
"{herbs} => {whole milk}",0.00772357723577236,0.475,1.85918854415274,76
"{processed cheese} => {whole milk}",0.00701219512195122,0.423312883435583,1.65688097573832,69
"{semi-finished bread} => {whole milk}",0.00711382113821138,0.402298850574713,1.57463034592489,70
"{beverages} => {whole milk}",0.00680894308943089,0.26171875,1.024388424821,67
"{detergent} => {other vegetables}",0.00640243902439024,0.333333333333333,1.72268907563025,63
"{detergent} => {whole milk}",0.00894308943089431,0.465608465608466,1.82242931646273,88
"{pickled vegetables} => {other vegetables}",0.00640243902439024,0.357954545454545,1.84993315508021,63
"{pickled vegetables} => {whole milk}",0.00711382113821138,0.397727272727273,1.55673681926665,70
"{baking powder} => {other vegetables}",0.00731707317073171,0.413793103448276,2.13851057664445,72
"{baking powder} => {whole milk}",0.0092479674796748,0.522988505747126,2.04701944970236,91
"{flour} => {other vegetables}",0.00630081300813008,0.362573099415205,1.87380215243992,62
"{flour} => {whole milk}",0.0084349593495935,0.485380116959064,1.89981716423118,83
"{soft cheese} => {other vegetables}",0.00711382113821138,0.416666666666667,2.15336134453782,70
"{soft cheese} => {whole milk}",0.00752032520325203,0.44047619047619,1.72405955222184,74
"{specialty bar} => {soda}",0.00721544715447154,0.263940520446097,1.51438759253037,71
"{misc. beverages} => {soda}",0.00731707317073171,0.258064516129032,1.48067337534092,72
"{grapes} => {tropical fruit}",0.00609756097560976,0.272727272727273,2.60042283298097,60
"{grapes} => {other vegetables}",0.00904471544715447,0.404545454545455,2.09071810542399,89
"{grapes} => {whole milk}",0.00731707317073171,0.327272727272727,1.28097201128227,72
"{cat food} => {yogurt}",0.00619918699186992,0.266375545851528,1.90905708024693,61
"{cat food} => {other vegetables}",0.00650406504065041,0.279475982532751,1.4443506660306,64
"{cat food} => {whole milk}",0.00884146341463415,0.379912663755459,1.48700899417411,87
"{specialty chocolate} => {whole milk}",0.00802845528455285,0.264214046822742,1.03415521906754,79
"{meat} => {rolls/buns}",0.00691056910569106,0.267716535433071,1.45623588096264,68
"{meat} => {other vegetables}",0.00995934959349594,0.385826771653543,1.99397869383974,98
"{meat} => {whole milk}",0.00995934959349594,0.385826771653543,1.51015729239096,98
"{frozen meals} => {other vegetables}",0.00752032520325203,0.265232974910394,1.37074184512515,74
"{frozen meals} => {whole milk}",0.00985772357723577,0.347670250896057,1.36080957391297,97
"{hard cheese} => {yogurt}",0.00640243902439024,0.261410788381743,1.87347571571475,63
"{hard cheese} => {other vegetables}",0.00945121951219512,0.385892116182573,1.99431639875867,93
"{hard cheese} => {whole milk}",0.0100609756097561,0.410788381742739,1.60785905980451,99
"{butter milk} => {yogurt}",0.00853658536585366,0.305454545454545,2.18912798781699,84
"{butter milk} => {rolls/buns}",0.00762195121951219,0.272727272727273,1.48349163274536,75
"{butter milk} => {other vegetables}",0.0103658536585366,0.370909090909091,1.91688311688312,102
"{butter milk} => {whole milk}",0.0115853658536585,0.414545454545455,1.62256454762421,114
"{candy} => {soda}",0.00863821138211382,0.289115646258503,1.65883262926162,85
"{candy} => {whole milk}",0.00823170731707317,0.275510204081633,1.07836929521212,81
"{ham} => {yogurt}",0.00670731707317073,0.2578125,1.84768754552076,66
"{ham} => {rolls/buns}",0.00691056910569106,0.265625,1.44485903814262,68
"{ham} => {other vegetables}",0.00914634146341463,0.3515625,1.81689863445378,90
"{ham} => {whole milk}",0.0114837398373984,0.44140625,1.72769988066826,113
"{sliced cheese} => {sausage}",0.00701219512195122,0.286307053941909,3.04898421080994,69
"{sliced cheese} => {yogurt}",0.00802845528455285,0.327800829875519,2.34927907208675,79
"{sliced cheese} => {rolls/buns}",0.00762195121951219,0.311203319502075,1.69278090873434,75
"{sliced cheese} => {other vegetables}",0.00904471544715447,0.369294605809129,1.9085393493497,89
"{sliced cheese} => {whole milk}",0.0107723577235772,0.439834024896266,1.72154606403312,106
"{oil} => {root vegetables}",0.00701219512195122,0.25,2.29477611940298,69
"{oil} => {other vegetables}",0.00995934959349594,0.355072463768116,1.83503836317136,98
"{oil} => {whole milk}",0.011280487804878,0.402173913043478,1.57414133028951,111
"{onions} => {root vegetables}",0.00945121951219512,0.304918032786885,2.79887448005872,93
"{onions} => {other vegetables}",0.0142276422764228,0.459016393442623,2.37222757955641,140
"{onions} => {whole milk}",0.0120934959349593,0.390163934426229,1.52713329942486,119
"{berries} => {whipped/sour cream}",0.00904471544715447,0.27217125382263,3.79881579803501,89
"{berries} => {yogurt}",0.0105691056910569,0.318042813455657,2.27934543656495,104
"{berries} => {other vegetables}",0.0102642276422764,0.308868501529052,1.59625318017115,101
"{berries} => {whole milk}",0.0117886178861789,0.35474006116208,1.38848138497807,116
"{hamburger meat} => {rolls/buns}",0.00863821138211382,0.259938837920489,1.4139293339622,85
"{hamburger meat} => {other vegetables}",0.0138211382113821,0.415902140672783,2.14941022280472,136
"{hamburger meat} => {whole milk}",0.0147357723577236,0.443425076452599,1.73560173122258,145
"{hygiene articles} => {other vegetables}",0.00955284552845528,0.290123456790123,1.49937752878929,94
"{hygiene articles} => {whole milk}",0.0128048780487805,0.388888888888889,1.52214266772739,126
"{salty snack} => {other vegetables}",0.0107723577235772,0.28494623655914,1.47262130658715,106
"{salty snack} => {whole milk}",0.0111788617886179,0.295698924731183,1.15738958606,110
"{sugar} => {other vegetables}",0.0107723577235772,0.317365269461078,1.64016504805515,106
"{sugar} => {whole milk}",0.0151422764227642,0.446107784431138,1.74610206794049,149
"{waffles} => {other vegetables}",0.0100609756097561,0.261904761904762,1.35354141656663,99
"{waffles} => {whole milk}",0.0127032520325203,0.330687830687831,1.29433900316955,125
"{long life bakery product} => {other vegetables}",0.0106707317073171,0.285326086956522,1.47458439897698,105
"{long life bakery product} => {whole milk}",0.0135162601626016,0.361413043478261,1.41459997924665,133
"{dessert} => {soda}",0.00985772357723577,0.265753424657534,1.52478932864731,97
"{dessert} => {yogurt}",0.00985772357723577,0.265753424657534,1.90459846950483,97
"{dessert} => {other vegetables}",0.0115853658536585,0.312328767123288,1.61413606538506,114
"{dessert} => {whole milk}",0.013719512195122,0.36986301369863,1.44767384836695,135
"{cream cheese} => {yogurt}",0.0123983739837398,0.312820512820513,2.24191831475153,122
"{cream cheese} => {rolls/buns}",0.00995934959349594,0.251282051282051,1.36684100863205,98
"{cream cheese} => {other vegetables}",0.013719512195122,0.346153846153846,1.78894634776988,135
"{cream cheese} => {whole milk}",0.0164634146341463,0.415384615384615,1.62584909124289,162
"{chicken} => {root vegetables}",0.0108739837398374,0.252955082742317,2.3219011326347,107
